"Date","Chrome","Safari","Samsung Internet","Edge","Firefox","Brave","UC Browser","Opera","QQ Browser","Yandex Browser","Sony PSP Vita","Coc Coc","Android","Whale Browser","Unknown","Ecosia","Puffin","Other"
2025-03,46.2,47.5,2,1.06,0.98,0.47,0.58,0.32,0.23,0.11,0.15,0.13,0.06,0.08,0.02,0.01,0.02,0.08
2025-04,46.07,47.23,2.01,1.18,0.96,0.84,0.57,0.32,0.24,0.11,0.15,0.11,0.06,0.08,0.02,0.01,0.01,0.02
2025-05,45.26,48.29,1.83,1.19,0.95,0.85,0.53,0.3,0.24,0.07,0.18,0.1,0.09,0.05,0.02,0.01,0.01,0.02
2025-06,46.5,47.39,1.71,1.13,0.94,0.88,0.49,0.27,0.22,0.08,0.11,0.08,0.08,0.04,0.02,0.01,0.01,0.02
2025-07,43.45,50.22,1.85,1.16,1.06,0.98,0.41,0.27,0.2,0.08,0.05,0.05,0.07,0.06,0.03,0.01,0.01,0.02
2025-08,52.73,41.65,1.58,1.04,0.94,0.84,0.35,0.27,0.19,0.1,0.06,0.05,0.06,0.06,0.03,0.01,0.01,0.03
2025-09,51,43.39,1.66,1.06,0.92,0.79,0.3,0.25,0.18,0.11,0.1,0.06,0.06,0.06,0.03,0.01,0.01,0.01
2025-10,49.82,44.43,1.7,1.07,1,0.83,0.28,0.24,0.17,0.13,0.1,0.05,0.06,0.04,0.02,0.01,0.02,0.02
2025-11,48.02,46.24,1.76,1.02,0.99,0.83,0.26,0.24,0.19,0.14,0.11,0.06,0.05,0.04,0.02,0.01,0.01,0.02
2025-12,50.41,43.87,1.7,1.09,0.93,0.87,0.24,0.23,0.19,0.12,0.09,0.08,0.06,0.03,0.03,0.01,0.01,0.02
2026-01,51.17,43.12,1.74,1.02,0.91,0.8,0.33,0.24,0.18,0.16,0.11,0.08,0.05,0.03,0.02,0.01,0.01,0.02
2026-02,49.22,44.82,1.74,1.11,0.97,0.88,0.43,0.25,0.21,0.15,0.01,0.09,0.04,0.03,0.03,0.01,0,0.02
2026-03,51.59,42.82,1.65,0.94,0.95,0.88,0.44,0.24,0.16,0.09,0,0.09,0.07,0.03,0.03,0.01,0,0.02
